"","lat","lon","swflx","swflx.25","swflx.75","lwflx","lwflx.25","lwflx.75","sat","tdiff","time.rel","sza"
"1",79.2634950410846,-7.88552866406177,99.0682482038225,97.1005554199219,100.308307647705,209.00598362514,208.252265930176,210.01390838623,"CERES",1,-29,82.374142238072
"2",79.2634950410846,-7.88552866406177,152.898096720378,149.726699829102,155.511222839355,206.907208251953,205.95059967041,207.537590026855,"CERES",-1,-29,79.0556711832682
"3",78.8257947231667,-8.07084614510236,147.737190246582,144.277389526367,152.016338348389,207.473340034485,206.873012542725,208.074577331543,"CERES",0,-28,79.3194408416748
"4",78.4098487050223,-8.05447592201972,141.204070091248,138.243900299072,143.477954864502,207.853629112244,206.892246246338,208.496898651123,"CERES",1,-27,79.5772261619568
"5",78.4098487050223,-8.05447592201972,212.774295582491,209.315170288086,216.448867797852,207.546328376321,206.685165405273,208.360824584961,"CERES",-1,-27,75.0351023954504
"6",78.0341237056139,-7.83043293381832,206.929316801183,202.008483886719,212.103988647461,209.272939345416,208.529647827148,210.533889770508,"CERES",0,-26,75.0343259923598
"7",77.6541179006535,-7.40101863491724,204.436009457237,201.55354309082,209.304862976074,210.976722315738,209.498252868652,212.417106628418,"CERES",1,-25,74.9819243581671
"8",78.0341237056139,-7.83043293381832,279.507611083984,272.816192626953,285.177917480469,207.707400512695,206.510810852051,208.681694030762,"CERES",-1,-26,70.0438735961914
"9",77.6541179006535,-7.40101863491724,272.490932688994,262.106353759766,285.306762695312,209.941936717314,207.775619506836,211.464630126953,"CERES",0,-25,69.8138463637408
"10",77.2662886469799,-6.84032724830683,268.838191731771,259.088409423828,280.493377685547,210.90522664388,209.641502380371,211.85636138916,"CERES",1,-24,69.6176091512044
"11",77.2662886469799,-6.84032724830683,325.906416672927,306.991119384766,345.52294921875,210.793465247521,208.153869628906,213.655639648438,"CERES",-1,-24,64.8454988919772
"12",76.8699479569404,-6.20156107959605,317.874412536621,299.26944732666,341.011459350586,211.502086639404,210.311431884766,213.40311050415,"CERES",0,-23,64.5190510749817
"13",76.4745427930824,-5.50423644365251,294.439723423549,281.476470947266,310.53498840332,211.721645900181,210.451267242432,212.885894775391,"CERES",1,-22,64.1067834581648
"14",76.8699479569404,-6.20156107959605,352.164125061035,331.154945373535,376.312294006348,212.98341293335,211.083995819092,214.702335357666,"CERES",-1,-23,61.1592746734619
"15",76.4745427930824,-5.50423644365251,327.021694946289,310.462348937988,343.348152160645,213.80013885498,212.156692504883,215.366390228271,"CERES",0,-22,60.7470235824585
"16",76.083415409702,-4.74566351999629,295.444118152965,277.279930114746,308.71573638916,212.140217867765,210.793788909912,212.661231994629,"CERES",1,-21,60.3207178982821
"17",76.083415409702,-4.74566351999629,326.662924194336,311.462295532227,340.841804504395,211.193295288086,210.358623504639,212.065601348877,"CERES",-1,-21,59.3703218460083
