"","lat","lon","cc","cth","ctt","cod","nd","tdiff","time.rel","sza","cc.025","cc.975","sat"
"1",39.5830815482052,-73.4158586141419,0.242424242424242,2.69172687056873,-13.2744993891035,1.75925230020375,218.93637671215,0,-8,84.0459730938228,0,0.84,"GOES16"
"2",39.4821296018762,-73.2817329166171,0.517676767676768,1.82862580909083,-6.16999415291678,10.6647216759509,482.397632779283,0,-7.66666666666667,80.2163797436339,0,1,"GOES16"
"3",39.3811776555471,-73.1476072190924,0.530150753768844,1.80655351545468,-5.64223850261908,6.94892911729988,144.752862233931,0,-7.33333333333333,76.4504162198934,0,1,"GOES16"
"4",39.280225709218,-73.0134815215677,0.578947368421053,1.81496047990098,-5.4098890441557,6.2995881982017,113.433015604473,0,-7,72.7599570099871,0.0526315789473684,0.96,"GOES16"
"5",39.1793697607424,-72.8823833442776,0.6,1.83963877495398,-5.01600237436243,5.07813803466037,96.3105619017172,0,-6.66666666666667,69.1740804481506,0.136363636363636,0.92,"GOES16"
"6",39.0785138122669,-72.7512851669876,0.5925,1.75251576818791,-3.68448618002952,5.00333541020751,92.7775537839168,0,-6.33333333333333,65.7148970222473,0.217391304347826,0.96,"GOES16"
"7",38.9776578637913,-72.6201869896975,0.633416458852868,1.76178374848978,-3.15138482158669,5.32206164304158,91.5258085945708,0,-6,62.400911383498,0.24,0.96,"GOES16"
"8",38.8804058333128,-72.4838001065652,0.633663366336634,1.91039974406362,-3.74126068115232,5.53719358950263,88.500862222207,0,-5.66666666666667,59.2591059562003,0.125,1,"GOES16"
"9",38.7831538028343,-72.3474132234329,0.71571072319202,2.00119631609531,-3.94059161561905,6.61380689957195,88.1816982999543,0,-5.33333333333333,56.3386864507585,0.208333333333333,1,"GOES16"
"10",38.6859017723558,-72.2110263403006,0.73134328358209,2.0387125518918,-3.95432319641112,7.67229610177415,88.7938862214231,0,-5,53.6660834544927,0.130434782608696,1,"GOES16"
"11",38.5915349385413,-72.0659892573099,0.839901477832512,2.14713075543627,-4.52517022026908,9.29124208257116,89.489161081573,0,-4.66666666666667,51.2899219907563,0.541666666666667,1,"GOES16"
"12",38.4971681047269,-71.9209521743193,0.843137254901961,2.21466840087783,-4.67999316944793,9.67184996137432,88.9993666843559,0,-4.33333333333333,49.2577121585023,0.64,1,"GOES16"
"13",38.4028012709124,-71.7759150913286,0.862068965517241,2.29475058945529,-4.9293066466383,9.48584688414494,117.326926662935,0,-4,47.6121305738177,0.730769230769231,1,"GOES16"
"14",38.3076158126141,-71.6201631742535,0.884520884520885,2.29479199252492,-4.38844823438937,9.15398655505965,104.837147442826,0,-3.66666666666667,46.4037297691701,0.740740740740741,1,"GOES16"
"15",38.2124303543157,-71.4644112571783,0.924205378973105,2.3237140895685,-3.63063447014916,9.64115996159668,60.5522916658553,0,-3.33333333333333,45.6624177032695,0.826086956521739,1,"GOES16"
"16",38.1172448960173,-71.3086593401032,0.945812807881773,2.44184995402256,-3.77331995470768,11.3536950589107,81.8146406688765,0,-3,45.4261566218484,0.869565217391304,1,"GOES16"
"17",38.0186636292796,-71.1450455559868,0.936430317848411,2.61714937721896,-4.54099770245165,12.8091833826091,102.258353339167,0,-2.66666666666667,45.6977651078427,0.785714285714286,1,"GOES16"
"18",37.9200823625419,-70.9814317718705,0.953545232273839,2.75056876529983,-4.96685050833777,17.1394611579573,91.6088902775223,0,-2.33333333333333,46.4588183004291,0.851851851851852,1,"GOES16"
"19",37.8215010958042,-70.8178179877541,0.953658536585366,2.85785782846009,-5.53802527450931,18.2961820259327,155.636424327851,0,-2,47.7060263470906,0.838166666666667,1,"GOES16"
"20",37.7141255539377,-70.6477937703346,0.972972972972973,2.94541483048432,-5.83969359151852,23.3918387558888,184.963706106838,0,-1.66666666666667,49.3863136328995,0.916666666666667,1,"GOES16"
"21",37.6067500120712,-70.4777695529151,0.987714987714988,3.0038093791254,-5.75915477855783,25.4297498517306,150.944386489441,0,-1.33333333333333,51.4699159758097,0.962962962962963,1,"GOES16"
"22",37.4993744702046,-70.3077453354956,0.975903614457831,3.0250489059701,-5.48208500505928,29.0355196547795,155.30281319247,0,-1,53.902324079031,0.875,1,"GOES16"
"23",37.3802090381074,-70.1295591099514,0.960880195599022,3.05702609392133,-5.57975323590787,29.7725326577725,138.122673331066,0,-0.666666666666667,56.6476960310435,0.851851851851852,1,"GOES16"
"24",37.2610436060102,-69.9513728844071,0.966426858513189,3.08694994535378,-5.98728810408702,34.9394726490231,143.954610067611,0,-0.333333333333333,59.6556733860958,0.888888888888889,1,"GOES16"
"25",37.141878173913,-69.7731866588629,0.964114832535885,3.12097987290204,-6.64190984844589,36.6066322316679,141.78337542061,0,0,62.8823284349943,0.88,1,"GOES16"
"26",37.0219094616182,-69.5966752306724,0.963680387409201,3.13234429642306,-6.87521721421949,41.9169826543649,150.410384258453,0,0.333333333333333,66.3037772559658,0.88,1,"GOES16"
"27",36.9019407493233,-69.4201638024819,0.957142857142857,3.08005863853863,-6.47329548427035,51.0685011291788,170.908813486805,0,0.666666666666667,69.8970438639323,0.869565217391304,1,"GOES16"
"28",36.7819720370285,-69.2436523742914,0.947867298578199,3.05182869287464,-6.15382022948059,61.6640460562508,212.047307886453,0,1,73.6118872041386,0.769230769230769,1,"GOES16"
"29",36.6684337963831,-69.0646045529595,0.928400954653938,3.0147626279927,-5.4798770895393,68.3320029659601,336.645823780283,0,1.33333333333333,77.4539137228007,0.791666666666667,1,"GOES16"
