"","N","lhf","shf","sst"
"1",-8,100.03252300619,39.6434897932914,NA
"2",-7,260.339613985689,158.654384980568,282.87933940643
"3",-6,349.544221847471,206.215511532681,286.055664165002
"4",-5,380.090991208345,221.093983636892,287.812240345079
"5",-4,398.856890534048,215.095928395068,288.617582656603
"6",-3,571.741815326173,282.346765837755,292.84065956912
"7",-2,630.141974012506,283.418897915619,294.170243257417
"8",-1,600.55855850325,261.729900933784,293.850582388926
"9",0,586.56557719039,239.348324858085,293.781788429443
"10",0,586.56557719039,239.348324858085,293.781788429443
"11",1,611.772712072661,228.05610737846,294.321670424575
"12",2,632.518364922016,217.734147238465,294.216979878758
"13",3,518.005032438916,158.102851593402,292.990742861957
"14",4,487.77333109832,136.946707395007,292.974140718022
"15",5,461.510613747065,121.60281216455,293.402357848119
"16",6,432.179556398004,108.354107998277,293.499379637916
"17",7,387.915254464024,89.7991992603571,293.342466725007
"18",8,349.61428980663,75.8436490532115,293.400461049859
"19",9,319.37173143044,67.2578297932936,293.576394034082
"20",10,293.228678668647,62.1775952685341,293.822997065025
"21",11,257.425114150226,52.4075673156472,293.873234620525
"22",12,230.574141895976,45.708565839972,293.822974685601
"23",13,212.880849599279,41.4841438088969,293.788368574494
"24",14,191.836309471458,35.9078760482487,293.752131548756
"25",15,166.663349671737,29.689520284896,293.683051974686
"26",16,150.684846240817,25.3927570727731,293.665722362328
"27",17,144.163523596401,23.0692259296953,293.69885654767
"28",18,142.271009629294,21.9537121331002,293.741003034674
"29",19,134.146363375883,20.3007051647883,293.80068347754
"30",20,118.657666654548,17.5319011580789,293.86805640642
"31",21,108.361851176668,15.5160912663934,293.930050872153
"32",22,87.4963775107109,11.0837883084747,293.98410120311
"33",23,81.609826404233,9.80086607612367,293.995190991022
"34",24,77.8209950190281,8.90456039626237,293.978832938724
"35",25,80.2809649810227,8.81541896791857,293.963191242162
"36",26,85.9734297689657,9.1972339866506,294.118520351356
"37",27,NA,NA,294.065825652324
"38",28,NA,NA,293.993653522438
"39",29,NA,NA,293.916468421435
"40",30,NA,NA,293.863206070078
