"","N","lhf","shf","sst"
"1",-31,120.977296037225,286.837476948752,272.879252781994
"2",-30,153.543553144534,324.538650963122,273.555274753027
"3",-29,144.231596071866,275.124594388896,273.482018463277
"4",-28,140.035819738771,241.11881846229,273.93157857295
"5",-27,135.877461476787,215.630025590711,274.517689880851
"6",-26,129.425331573727,190.275163551571,274.808579168352
"7",-25,119.877335719408,165.61281177215,274.651246341353
"8",-24,125.055258200031,166.906420669057,274.589917653685
"9",-23,125.437514902,157.457488650544,274.762906805605
"10",-22,123.43465416452,146.947370234538,274.769818520404
"11",-21,123.046062223994,137.955414881514,274.887728003691
"12",-20,120.51673923201,126.533273784765,275.275453007945
"13",-19,121.60439605583,119.636209669918,275.447578400022
"14",-18,126.471795306565,119.067246710801,275.922046746831
"15",-17,135.478900200516,121.450966375146,276.671198583497
"16",-16,136.067460757243,117.292987630469,277.230598527855
"17",-15,135.441510399591,112.711063886919,277.557380033871
"18",-14,133.889234242931,106.068405446829,277.858406506972
"19",-13,133.276111089464,102.286867063908,278.010825985593
"20",-12,136.254965291245,103.149122836906,278.061856880105
"21",-11,135.013516187777,98.5350377022474,278.078305258877
"22",-10,137.874513136655,96.6352188410215,278.219116185762
"23",-9,138.077944868527,94.2386882310229,278.34381414924
"24",-8,142.680085738786,97.4339480888808,278.695841649534
"25",-7,145.441336306227,102.333329427578,279.081933322092
"26",-6,141.85422839852,103.229463046281,279.290562069097
"27",-5,131.823639537135,98.0379016335068,279.186291516991
"28",-4,123.16110861668,92.6647213972165,279.151473789005
"29",-3,113.316625546972,87.9600687517781,279.195084573396
"30",-2,104.108063669761,83.3946906980484,279.169075769716
"31",-1,88.2218406456525,73.4630554060968,278.624322174525
"32",0,44.8071776177788,19.4317265955571,NA
"33",0,44.8071776177788,19.4317265955571,NA
