"","N","lhf","shf","sst"
"1",-8,179.685768417991,143.989647859671,279.728191813335
"2",-7,178.163877817515,138.522497205867,280.524122694578
"3",-6,211.038605005312,161.606444343539,282.956810314416
"4",-5,315.046157083882,222.885780235027,287.515603932146
"5",-4,440.308020497102,283.264693790692,291.702304998149
"6",-3,544.159173693134,318.401816545392,294.422901961229
"7",-2,554.925923943536,305.822492992173,295.067494082615
"8",-1,596.250847664279,305.178776056539,295.589653842513
"9",0,636.10184965303,304.180022428452,295.938021259152
"10",0,636.10184965303,304.180022428452,295.938021259152
"11",1,679.769084778979,302.280075741957,296.227236362265
"12",2,679.412058433529,283.592355822531,295.939863183618
"13",3,668.526310424638,273.8129939708,295.253051797754
"14",4,624.949510109277,255.132232754988,294.861533578532
"15",5,612.373340028287,249.055109859497,295.227979224629
"16",6,586.502209568344,243.382306659975,295.291719224886
"17",7,519.987781755506,218.547410178899,294.621488366068
"18",8,500.723146926735,207.504102965867,294.134001884243
"19",9,548.916070871739,223.030739303688,294.413367714338
"20",10,545.223188278957,210.511450367671,294.034397553312
"21",11,521.810282813521,192.048466279291,293.692366656132
"22",12,490.493820440155,171.446375895556,293.401412659949
"23",13,496.122567314644,178.144352120431,293.996240443416
"24",14,503.085489535321,168.921670426682,294.10016444878
"25",15,506.145308703995,160.584572544454,294.306083473673
"26",16,454.814890329828,145.824563294372,294.054761307447
"27",17,425.727024986468,127.568372344041,293.779468281264
"28",18,417.287445065191,112.71124633029,293.571208810915
"29",19,398.203614567381,100.251405038438,293.424668474015
"30",20,414.411956490936,109.560179894709,293.953370751896
"31",21,404.610869140419,104.978467645446,293.947107861626
"32",22,384.712495043597,71.3441831207787,293.345393208144
"33",23,327.753518417665,59.9099741974037,292.926498255089
"34",24,331.922071644182,69.0199574028558,293.518770230088
"35",25,307.638175686103,66.506785592136,293.612010062839
"36",26,293.227022887213,60.5060160243359,293.53228392072
"37",27,NA,NA,293.832957499267
"38",28,NA,NA,293.932560692674
"39",29,NA,NA,293.790926175778
"40",30,NA,NA,293.693989035606
