"","lat","lon","cc","cth","ctt","cod","nd","time.rel","sza","cc.025","cc.975"
"1",38.7284051996893,-74.2066856570465,0.133995037220844,2.49661277977034,-11.2913074216216,1.25723061345462,114.308829376333,-6,115.663328601468,0,1
"2",38.5688443968795,-73.9980904212291,0.211822660098522,2.81040661304263,-12.8639798180532,1.70691689421317,162.545574346787,-5.66666666666667,111.810782145984,0,0.666666666666667
"3",38.4092835940698,-73.7894951854117,0.42156862745098,2.92347652416724,-12.9698158957741,2.69307106662103,194.075978314118,-5.33333333333333,107.868952264973,0,0.888888888888889
"4",38.2497227912601,-73.5808999495943,0.597560975609756,3.10306053659903,-13.4493660578652,4.73762198652073,230.049611444902,-5,103.858441869224,0.05,1
"5",38.0920786713737,-73.3901163583099,0.684596577017115,3.15439084473951,-12.9319416187428,7.24396498605135,285.549210378186,-4.66666666666667,99.8127401673706,0.04,1
"6",37.9344345514873,-73.1993327670255,0.782082324455206,3.25873641076597,-13.0799939350017,8.08752552916005,339.55348557548,-4.33333333333333,95.7323549099754,0.153846153846154,1
"7",37.776790431601,-73.008549175741,0.8743961352657,3.43962744699008,-13.9403022581828,9.90375425778149,395.700298519229,-4,91.6290633160135,0.48,1
"8",37.6238555890884,-72.8332042904046,0.913253012048193,3.71932281902037,-15.4974776670157,7.33529123197119,350.604406928512,-3.66666666666667,87.5324612904744,0.592592592592593,1
"9",37.4709207465758,-72.6578594050682,0.966426858513189,3.87661741734694,-15.8611385720525,6.52625558959494,260.929553341987,-3.33333333333333,83.4404410126684,0.846153846153846,1
"10",37.3179859040632,-72.4825145197317,0.971153846153846,3.65942239245543,-13.7021267744211,66.4767250232399,572.737954130431,-3,79.3651175682361,0.88,1
"11",37.1720407227792,-72.3263306437726,0.97877358490566,3.69099325728866,-13.6494147678591,65.0538184322276,325.603560806857,-2.66666666666667,75.3373628652321,0.92,1
"12",37.0260955414952,-72.1701467678134,0.995226730310263,3.70624599138137,-13.3607363680382,62.5441785705118,236.960613134254,-2.33333333333333,71.3620160997341,0.961538461538462,1
"13",36.8801503602112,-72.0139628918542,1,3.72647014423108,-13.0900371633063,60.0340893704648,202.564064330261,-2,67.4456171864852,1,1
"14",36.7523538164715,-71.8811012861479,1,3.76157797682342,-13.0137268644938,56.9926881100894,183.032885966736,-1.66666666666667,63.6425023011122,1,1
"15",36.6245572727317,-71.7482396804415,1,3.8088856876038,-12.9499068235275,55.6785820623475,173.963705472737,-1.33333333333333,59.948941083532,1,1
"16",36.496760728992,-71.6153780747352,1,3.87938807647561,-13.0232027094415,50.983917034546,158.560411615619,-1,56.3895393083,1,1
"17",36.3863074525498,-71.5007686284188,1,3.99256214141846,-12.9195818732766,44.657498924031,142.239749046029,-0.666666666666667,53.0262041159237,1,1
"18",36.2758541761077,-71.3861591821024,1,4.02739756224585,-12.6738064267875,49.1120751356353,145.626646396825,-0.333333333333333,49.873895694277,1,1
"19",36.1654008996655,-71.271549735786,1,4.03346143513571,-12.2530114803003,46.1005401322336,139.653176653763,0,46.9817985676941,1,1
"20",36.0546151419842,-71.1579024504849,1,4.02736563337989,-11.7195405973421,45.7726911120204,137.821713252841,0.333333333333333,44.407224081613,1,1
"21",35.9438293843029,-71.0442551651839,1,4.02631249238839,-11.1740814991486,42.6218274667824,151.895476491091,0.666666666666667,42.2079907664052,1,1
"22",35.8330436266215,-70.9306078798828,1,4.0220933705221,-10.6762026486697,41.1274622614845,134.593319186349,1,40.4533147567358,1,1
"23",35.7334343251338,-70.8304476251961,1,3.99119197022334,-10.0814087338901,36.6696632622013,158.380464521008,1.33333333333333,39.2106307133721,1,1
"24",35.6338250236461,-70.7302873705093,1,3.93961887987326,-9.37138451979284,32.1469356226315,134.563812610423,1.66666666666667,38.5269829395462,1,1
"25",35.5342157221584,-70.6301271158226,0.995359628770302,3.88273517963781,-8.64472314962929,27.3533505527713,138.841327787685,2,38.4263396650345,0.962962962962963,1
"26",35.4457358408349,-70.5413461532715,0.990762124711316,3.82873326140794,-7.96600768902008,26.102738947984,148.786854298253,2.33333333333333,38.9261049090026,0.961538461538462,1
"27",35.3572559595113,-70.4525651907205,0.986238532110092,3.75334614898087,-7.2248708882463,27.1743751809411,115.428028605459,2.66666666666667,39.9939935316733,0.857142857142857,1
"28",35.2687760781877,-70.3637842281695,0.96037296037296,3.64104865036367,-6.34651918922547,25.51849686766,141.395785519377,3,41.5863332592802,0.820436507936508,1
"29",35.1867972553006,-70.2794409181695,0.937931034482759,3.49271305867995,-5.24003106478984,23.8997379413966,111.016945252544,3.33333333333333,43.6469254592369,0.703703703703704,1
"30",35.1048184324134,-70.1950976081696,0.942660550458716,3.40318697253499,-4.58259163952746,21.168139187978,112.86780259084,3.66666666666667,46.1101933925524,0.678571428571429,1
"31",35.0228396095263,-70.1107542981696,0.94279176201373,3.33300332892132,-3.95323438840815,18.5076906026364,99.5762624292332,4,48.9157763203985,0.692307692307692,1
"32",34.9461661017806,-70.0343289471016,0.908466819221968,3.20690902174201,-2.98941720224896,15.261321130279,95.3696574314559,4.33333333333333,52.0011495594575,0.703703703703704,1
"33",34.869492594035,-69.9579035960336,0.894977168949772,3.13404442186225,-2.44630199414951,16.2751100076932,96.5819392666903,4.66666666666667,55.3218394327381,0.666666666666667,1
"34",34.7928190862894,-69.8814782449655,0.878995433789954,3.19494899712741,-2.61874331121572,15.9039896310192,95.1843177977471,5,58.8357280400246,0.642857142857143,1
