"","cth","cth.low","cth.high","ctt","ctt.low","ctt.high","tau","tau.low","tau.high","Nd","Nd.low","Nd.high","tdiff","sim.time.new","sat"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"ACTIVATE (remote sensing)"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,"ACTIVATE (remote sensing)"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"ACTIVATE (remote sensing)"
"4",NA,NA,NA,NA,NA,NA,2.4329,1.509825,2.4329,248.140062362051,185.056987014371,248.140062362051,0,1.5,"ACTIVATE (remote sensing)"
"5",1478.6302228,1433.6613541,1478.6302228,-9.60544433593748,-9.6616271972656,-9.54373779296873,3.6869,1.13985,14.87255,320.240827479122,259.467467311149,485.130575780804,0,2,"ACTIVATE (remote sensing)"
"6",1628.5264518,1587.304988825,1684.737537675,-9.55483093261716,-9.74783935546873,-9.47631683349607,23.5309,18.31625,55.0847,541.878539681519,365.039861168572,645.89014551066,0,2.5,"ACTIVATE (remote sensing)"
"7",1523.5990915,1298.754748,1591.05239455,-9.28131713867185,-9.34293212890623,-6.46343078613279,6.5804,3.31815,8.9050125,304.48931414532,173.427605012755,452.95516617947,0,3,"ACTIVATE (remote sensing)"
"8",1463.6405999,1328.7339938,1523.5990915,-6.51273193359373,-6.67223205566404,-6.48918762207029,35.1617,21.5767,49.6778,513.102670096233,444.274733067263,862.612556908747,0,3.5,"ACTIVATE (remote sensing)"
"9",1576.06277165,1508.6094686,1714.716783475,-6.77864685058591,-9.58454742431638,-6.51680603027341,33.91,32.7142,43.33,436.426307007732,368.114164942175,474.52590928031,0,4,"ACTIVATE (remote sensing)"
"10",1658.5056976,1621.03164035,1703.4745663,-6.53293457031248,-6.79292907714841,-6.41634216308591,48.3882,39.49165,94.7602,355.980425812158,338.922784092257,567.261565730702,0,4.5,"ACTIVATE (remote sensing)"
"11",1666.00050905,1632.273857525,1744.696029275,-6.95429077148435,-7.13695373535154,-6.86174621582029,NA,NA,NA,NA,NA,NA,0,5,"ACTIVATE (remote sensing)"
"12",1883.3500411,1868.3604182,1943.3085327,-7.46474304199216,-7.54313507080076,-6.83292236328123,NA,NA,NA,NA,NA,NA,0,5.5,"ACTIVATE (remote sensing)"
"13",1965.79296705,1894.592258275,2123.1840075,-6.76145019531248,-7.18731536865232,-6.60761108398435,NA,NA,NA,NA,NA,NA,0,6,"ACTIVATE (remote sensing)"
"14",1980.78258995,1894.592258275,2036.993675825,-6.07163085937498,-6.53938140869138,-5.73119964599607,NA,NA,NA,NA,NA,NA,0,6.5,"ACTIVATE (remote sensing)"
"15",2108.1943846,2048.235893,2153.1632533,-5.97958984374998,-6.45296325683591,-5.88736572265623,NA,NA,NA,NA,NA,NA,0,7,"ACTIVATE (remote sensing)"
"16",2168.1528762,2093.2047617,2228.1113678,-6.06403198242185,-6.47287597656248,-5.8617004394531,NA,NA,NA,NA,NA,NA,0,7.5,"ACTIVATE (remote sensing)"
"17",2250.59580215,2138.1736304,2333.0387281,-6.13997497558591,-6.42876281738279,-5.8880676269531,NA,NA,NA,NA,NA,NA,0,8,"ACTIVATE (remote sensing)"
"18",2198.132122,2040.74108155,2295.56467085,-6.04202880859373,-6.28771057128904,-5.8252014160156,NA,NA,NA,NA,NA,NA,0,8.5,"ACTIVATE (remote sensing)"
"19",2273.0802365,2145.66844185,2355.52316245,-5.91058959960935,-6.1876281738281,-5.73337402343748,NA,NA,NA,NA,NA,NA,0,9,"ACTIVATE (remote sensing)"
"20",2138.1736304,1860.86560675,2340.53353955,-5.91550292968748,-6.10036315917966,-5.73403015136716,NA,NA,NA,NA,NA,NA,0,9.5,"ACTIVATE (remote sensing)"
"21",2213.1217449,2138.1736304,2273.0802365,-5.53806152343748,-5.63468017578123,-5.47104492187498,NA,NA,NA,NA,NA,NA,0,10,"ACTIVATE (remote sensing)"
"22",2363.0179739,2340.53353955,2385.50240825,-5.66042175292966,-5.69309844970701,-5.62774505615232,NA,NA,NA,NA,NA,NA,0,10.5,"ACTIVATE (remote sensing)"
