"","N","lhf","shf","sst"
"1",-10,172.713558928037,184.464366325823,NA
"2",-9,333.698073975745,320.70544336124,282.128745425671
"3",-8,365.796094866243,335.098678795675,283.038404375194
"4",-7,419.802020762073,360.558940678841,285.0391496503
"5",-6,470.062246673345,379.584725671629,286.529707225135
"6",-5,505.44204822344,384.233095682056,287.583257371
"7",-4,779.644529844558,514.06759752307,292.57016944236
"8",-3,1061.55204150822,608.642344657699,296.864438422608
"9",-2,780.720996263772,432.8206616909,294.853699445101
"10",-1,665.607860489417,343.338944928463,294.531312659158
"11",0,571.56458663641,276.171125577475,294.121730338143
"12",0,571.56458663641,276.171125577475,294.121730338143
"13",1,522.083522655577,238.136982934009,294.065147188334
"14",2,499.520922910695,216.855146102368,294.195669600746
"15",3,475.027273179767,194.978261916494,294.264379925411
"16",4,446.803732111568,174.257365496516,293.990939022398
"17",5,422.469906079144,157.254112721527,293.985328502031
"18",6,400.534458759068,143.862072423521,293.983869378778
"19",7,374.618890710992,128.510301739873,294.042297423156
"20",8,353.508702245124,115.664894700646,294.239196416391
"21",9,332.072346157296,105.160279291706,294.598986601346
"22",10,299.419227713682,93.6505702919124,294.694899771084
"23",11,290.708186841573,88.6278687247622,294.710123022836
"24",12,294.258347400511,87.8880328519398,294.838471636073
"25",13,305.004473983909,89.1389517612558,295.008282553224
"26",14,302.324487107461,85.4732487861095,295.017381430358
"27",15,295.320779939487,81.3075637681836,295.004271926979
"28",16,282.103046147041,76.8230924014507,294.982352898389
"29",17,258.969755408162,71.841609966457,294.956998461235
"30",18,244.096364273691,66.7585259135947,294.931046880935
"31",19,244.374557139953,63.1899302772267,294.925583399708
"32",20,254.190025065515,63.5056326872618,294.963106290525
"33",21,255.723362137307,61.6389307491375,295.030051155177
"34",22,226.468679830525,53.7185619445651,295.086421243812
"35",23,214.618682894023,48.5090342523241,295.089821558443
"36",24,213.912238524152,46.5892774739361,295.126963007916
"37",25,222.297026774454,46.6763627114826,295.172942772101
"38",26,221.74630359605,44.7413834246737,295.270039299712
"39",27,NA,NA,295.219088368845
"40",28,NA,NA,295.188053598695
"41",29,NA,NA,295.22576281994
"42",30,NA,NA,295.305498673837
