"","N","lhf","shf","sst"
"1",-26,204.281268867674,276.685955694907,276.548383387864
"2",-25,205.198644978838,255.68302435848,277.296326203776
"3",-24,176.481105239053,202.173893490399,276.829301801311
"4",-23,156.867461107039,162.898208846501,276.389810470825
"5",-22,145.583177815408,136.581923520331,276.098851449011
"6",-21,141.947378279693,123.235272376504,276.164469929374
"7",-20,141.792899160771,114.863186086252,276.323999050936
"8",-19,134.104177670516,103.591503149447,276.435529418287
"9",-18,126.461801000047,103.069639972329,276.559474834754
"10",-17,131.288870607796,111.596199165981,276.932154246323
"11",-16,127.945772017406,111.217577570672,277.177297133508
"12",-15,131.819519855214,115.272453119528,277.628273892378
"13",-14,132.647941795557,116.266925128936,277.710137695461
"14",-13,129.537106328628,113.332863153443,277.86307730944
"15",-12,124.83512069407,107.518912016161,277.986780733645
"16",-11,126.604544495404,108.072429161502,278.297296638316
"17",-10,128.049400214972,105.57702884207,278.493947395027
"18",-9,120.365613021765,98.23319427847,278.628061166596
"19",-8,109.629658175593,89.7712913444671,278.683437366422
"20",-7,117.006885644913,77.4079082136617,278.814450009245
"21",-6,116.257209856708,71.4101290335065,278.909320425797
"22",-5,112.514773318673,67.4899229922641,278.909805418057
"23",-4,100.723939949912,60.0446976820216,278.914176149567
"24",-3,89.7531851055685,56.7332267773347,279.06477609155
"25",-2,78.0601680679924,50.1004233915863,279.076579793458
"26",-1,64.5418708118052,43.4391427052287,278.479990324194
"27",0,62.364602773333,73.0805331022207,NA
"28",0,62.364602773333,73.0805331022207,NA
