"","lat","lon","cc","cth","ctt","cod","nd","tdiff","time.rel","sza","ctt.25","ctt.75","cod.25","cod.75","nd.25","nd.75","cth.25","cth.75","cc.025","cc.975","cod.me","sat"
"1",38.734527787595,-72.2792197818668,0.584887664264519,1931.63562934709,0.0249253346668293,5.55739919752895,151.139556005791,-1,-5.16666666666667,48.7058849088597,-8.81000255569813,11.499996990338,1.25749997189268,7.47249983297661,80.1655241381563,203.27003534859,750,2850,0.28375895247052,0.855349874800819,3.35999992489815,"MODIS"
"2",38.4499846878196,-71.8484336328239,0.777765619870883,2916.55658300308,-5.51382141136445,9.73575095866649,130.184567682119,0,-4.16666666666667,48.3090556953715,-13.9900024399161,11.499996990338,2.85999993607402,13.4099997002631,71.9254764391571,175.146269881742,1850,3850,0.629128325297042,0.974955277280859,6.61999985203147,"MODIS"
"3",38.1648376251665,-71.3865352986408,0.901038694212989,3610.69185980135,-9.87563430844437,17.380350028138,128.777066216739,1,-3.16666666666667,47.9040486245862,-14.5300024278462,-8.310002566874,5.83999986946583,24.2899994570762,77.0893476423932,170.549155586755,3100,4350,0.724165186500888,1,13.0899997074157,"MODIS"
"4",38.734527787595,-72.2792197818668,0.862759643916914,7550.42498937527,-28.9118545792478,27.3834023129015,22.4135847588996,-1,-5.16666666666667,48.7058849088597,-44.7200017530471,-5.34000263325868,4.75999989360571,36.139999192208,3.28437151975319,26.1163112292087,4650,10050,0.493628638987658,1,12.1299997288734,"MODIS"
"5",38.4499846878196,-71.8484336328239,0.864646022540759,9100.32876712329,-38.1211792680315,20.1580715485566,23.7900237240185,0,-4.16666666666667,48.3090556953715,-46.9600017029792,-39.6300018668175,5.92999986745417,22.1449995050207,3.40492400510673,24.6392561932465,9350,10350,0.259062736768889,1,12.369999723509,"MODIS"
"6",38.1648376251665,-71.3865352986408,0.930030818399726,9800.90182648402,-42.6949898130667,17.6349682167169,20.308527873432,1,-3.16666666666667,47.9040486245862,-47.3900016933679,-40.3700018502772,8.44999981112778,17.2099996153265,1.45895363752634,18.6551291879245,9400,10350,0.766067045764441,1,12.7199997156858,"MODIS"
"7",35.0799114495379,-66.7693983270539,0,NA,NA,NA,NA,-1,5.83333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MODIS"
"8",34.7473118476662,-66.309695581482,0,1665.59766763848,5.89478837022336,0,NA,0,6.83333333333333,144.016534883721,-3.38000267706809,18.7999968271703,0,0,NA,NA,500,2950,0,0,0,"MODIS"
"9",34.4296026548623,-65.8690897323675,0,1488.65924748278,6.47769743400127,0,NA,1,7.83333333333333,144.316642828764,-1.4800027195364,18.7999968271703,0,0,NA,NA,300,2575,0,0,0,"MODIS"
"10",35.0512308359564,-66.730102425198,0,2022.20202793189,4.34845627463015,0,NA,-1,5.91666666666667,143.227579427493,-5.91000262051818,19.1999968182296,0,0,NA,NA,750,3450,0,0,0,"MODIS"
"11",34.7197880101953,-66.271584487296,0,2018.87221464302,4.08530523702877,0,NA,0,6.91666666666667,143.68060412484,-6.10000261627135,19.0499968215823,0,0,NA,NA,750,3450,0,0,0,"MODIS"
"12",34.4033365030761,-65.8326513662932,0,2100.71010860485,3.55400175019839,0,NA,1,7.91666666666667,144.027903280352,-6.1300026156008,18.7999968271703,0,0,NA,NA,750,3450,0,0,0,"MODIS"
"13",31.145695208252,-61.7733098990426,0.551937512680057,2240.47209245144,4.43635287408027,7.83528487254474,57.4776719063303,-1,17.9166666666667,42.6095425035504,-1.80000271238384,10.9699970021844,0,13.6374996951781,43.7432417250758,72.0376106734126,1050,3300,0.133594344752583,0.951566001354943,4.14999990724027,"MODIS"
"14",30.8205066800218,-61.5715815518769,0.676915219611849,2579.21428571429,2.80715385737882,9.91961979870822,67.4743068514799,0,18.9166666666667,42.2336659856997,-1.80000271238384,6.04999711215498,0,16.1274996395223,55.2644425826214,81.9553143112649,2000,3300,0.287337662337662,0.978813343519226,8.09999981895089,"MODIS"
"15",30.5251851991963,-61.4141981836577,0.795859511793182,2863.7037037037,1.35223561152899,12.3821698746428,67.0338416518696,1,19.9166666666667,41.9030054588526,-1.35000272244213,0.529997235536598,4.08999990858138,18.1699995938688,52.3092601930821,83.2024563699159,3000,3300,0.328766685827425,1,11.0999997518957,"MODIS"
"16",31.145695208252,-61.7733098990426,0.339419760600527,3420.49828357433,-10.3600572304853,2.25546961889044,8.45022926919006,-1,17.9166666666667,42.6095425035504,-16.9800023730844,3.09999717809262,0.609999986365437,2.9299999345094,1.43223343726843,9.56929926422215,800,5250,0,0.727746810421327,1.78999995999038,"MODIS"
"17",30.8205066800218,-61.5715815518769,0.520326864147089,3017.98425366695,-7.41524146063397,4.71999683014847,20.317038488893,0,18.9166666666667,42.2336659856997,-15.3400024097413,6.60999709963801,1.43999996781349,4.51999989897013,2.07824432836391,33.111037458117,350,5000,0.257281553398058,0.935043681068901,2.58999994210899,"MODIS"
"18",30.5251851991963,-61.4141981836577,0.719435575239469,1254.17438692098,1.70369702080687,9.23239344901122,45.4313563685514,1,19.9166666666667,41.9030054588526,5.74999711886051,6.60999709963801,2.25999994948506,14.5699996743351,24.7820544237955,64.3221096752515,300,550,0.310897442834417,0.996621621621622,5.29999988153577,"MODIS"
