"","cth","cth.low","cth.high","ctt","ctt.low","ctt.high","tau","tau.low","tau.high","Nd","Nd.low","Nd.high","tdiff","sim.time.new","sat"
"1",2228.1113678,2183.1424991,2685.29486625,-11.5313781738281,-12.1545318603515,-11.4809173583984,4.1166,3.24115,4.6479,61.987931573905,55.1304231721964,75.6578082855265,0,0,"ACTIVATE (remote sensing)"
"2",2153.1632533,2108.1943846,2183.1424991,-11.3037475585937,-11.3331665039062,-11.2778991699219,1.904225,1.0673625,3.0719,114.121981856946,61.2498279857522,119.416265288222,0,0.5,"ACTIVATE (remote sensing)"
"3",1973.2877785,1954.550749875,2078.2151388,-11.0294250488281,-11.0963882446289,-11.0090011596679,3.227075,1.98385,5.2157375,118.912252479778,32.0519572911719,212.86545266694,0,1,"ACTIVATE (remote sensing)"
"4",2033.2462701,1943.3085327,2078.2151388,-10.9505676269531,-10.9737838745117,-10.8998397827148,1.6617,1.2829,2.4803,18.7524070333433,12.7858210482741,272.68206493628,0,1.5,"ACTIVATE (remote sensing)"
"5",1268.7755022,1193.8273877,1628.5264518,-8.13815917968748,-10.5849517822265,-7.59882202148435,1.2731,0.3269,2.7313,321.624835542781,116.23512785857,391.737258667427,0,2,"ACTIVATE (remote sensing)"
"6",1703.4745663,1621.03164035,1973.2877785,-10.5955261230469,-10.776235961914,-10.4137252807617,2.47325,0.9571,10.62815,473.063628943821,79.6434143717347,619.955359620527,0,2.5,"ACTIVATE (remote sensing)"
"7",1830.88636095,1748.443435,1894.592258275,-10.6086181640625,-10.6935409545898,-10.5066589355469,45.955325,34.306475,54.3638625,378.367446766143,307.616705457996,903.197455248505,0,3,"ACTIVATE (remote sensing)"
"8",1973.2877785,1913.3292869,2014.509241475,-10.3668731689453,-10.4733413696289,-10.1830963134765,59.6501,48.82335,79.1634625,387.29378763819,345.75900004122,809.859111134723,0,3.5,"ACTIVATE (remote sensing)"
"9",1943.3085327,1898.339664,2003.2670243,-10.00400390625,-10.1458190917969,-9.8757385253906,82.256,53.6319,146.4353,444.679746237076,329.297299360945,576.930101556368,0,4,"ACTIVATE (remote sensing)"
"10",2160.65806475,2048.235893,2198.132122,-9.1243957519531,-9.34632720947263,-8.79303588867185,108.31545,63.796925,219.47835,351.171461929054,284.641399537307,738.025555949462,0,4.5,"ACTIVATE (remote sensing)"
"11",2168.1528762,2153.1632533,2224.363962075,-8.74432983398435,-8.91739501953123,-8.64047851562498,113.4024,75.91085,171.9133125,263.325890682837,232.593760355564,289.399564865857,0,5,"ACTIVATE (remote sensing)"
"12",2220.61655635,2183.1424991,2243.1009907,-8.26366271972654,-8.34583892822263,-8.10684814453123,53.08285,35.6703,89.4027,149.134173550419,141.591294571322,254.517441295411,0,5.5,"ACTIVATE (remote sensing)"
