"","N","lhf","shf","sst"
"1",-7,226.113913583575,177.274803733662,NA
"2",-6,399.557230488799,314.753823321573,280.574076725927
"3",-5,528.5741941351,392.409563152593,284.486296510291
"4",-4,704.896854297852,468.823596703541,289.278867713527
"5",-3,941.513677255351,536.163867811595,294.687565524015
"6",-2,763.471396344728,409.192032483466,293.989400479893
"7",-1,591.241874193282,304.613178327052,292.838692297517
"8",0,508.609587334165,249.071594961292,292.841398314774
"9",0,508.609587334165,249.071594961292,292.841398314774
"10",1,433.488241734509,198.944834063007,292.362637634899
"11",2,404.379303931574,172.318956101275,292.535511144308
"12",3,376.363607982155,151.90469967071,293.009132486524
"13",4,329.202287467045,125.983998506897,292.563601165861
"14",5,301.72984792312,110.209260580742,292.705425400537
"15",6,277.889724418826,97.8202217559135,292.92026651173
"16",7,249.01976407138,84.3691499837682,293.100907098012
"17",8,221.235298529636,71.8564198334372,293.034225077647
"18",9,200.781074491811,63.0852247144026,293.06063287824
"19",10,186.273613866254,56.9302560716623,293.113012023318
"20",11,168.490020159164,50.2546104399766,293.125570591597
"21",12,150.128457962624,43.8345241438693,293.105216036047
"22",13,141.921640318625,40.5205414490399,293.074584530675
"23",14,151.793211383822,42.8105843401187,293.077824571367
"24",15,196.197807499462,58.7045033612856,293.105650193463
"25",16,195.591810214082,57.2363640462649,293.122373405612
"26",17,185.145173493053,53.3437807793017,293.159685822049
"27",18,179.546220838263,50.7580425331328,293.210961668093
"28",19,179.095764201591,49.8902805441584,293.255269815003
"29",20,183.751321388238,50.4811540327125,293.335827296883
"30",21,191.459543145089,51.3335699250058,293.431595063939
"31",22,197.624185472831,51.0954230426492,293.423054274579
"32",23,197.729507781815,48.8407882046787,293.382726460109
"33",24,193.589345038875,45.9344401521439,293.36502900499
"34",25,193.838969410892,45.025349251319,293.515656249591
"35",26,196.358175195896,45.0906317017362,293.736879290638
"36",27,213.475785592382,44.8527200549201,293.97367218836
"37",28,216.480313559934,44.5693280296197,294.026218451813
"38",29,219.928969837661,44.1378642414711,294.001291376659
"39",30,223.43896155265,43.3990082001261,294.047617848013
