"","cth","cth.low","cth.high","ctt","ctt.low","ctt.high","tau","tau.low","tau.high","Nd","Nd.low","Nd.high","tdiff","sim.time.new","sat"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"ACTIVATE (remote sensing)"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,"ACTIVATE (remote sensing)"
"3",1118.8792732,1118.8792732,1118.8792732,-10.6191772460937,-10.6191772460937,-10.6191772460937,0.2942,0.2942,0.2942,387.529352777905,387.529352777905,387.529352777905,0,1,"ACTIVATE (remote sensing)"
"4",1096.39483885,1055.173375875,1111.38446175,-10.5055145263672,-10.5375350952148,-10.4567550659179,2.66965,1.0733,3.4628,506.129278122457,470.327563092254,510.885839738121,0,1.5,"ACTIVATE (remote sensing)"
"5",1103.8896503,1088.9000274,1118.8792732,-10.4309448242187,-10.4772705078125,-10.3809875488281,2.7908,1.8528,3.4567625,431.031472984396,408.513872868884,465.573172355641,0,2,"ACTIVATE (remote sensing)"
"6",1133.8688961,1103.8896503,1137.616301825,-10.340444946289,-10.4067901611328,-10.2937683105469,4.56535,3.8011,4.9188,436.453598884023,422.124147534286,444.81898806178,0,2.5,"ACTIVATE (remote sensing)"
"7",1148.858519,1118.8792732,1163.8481419,-10.2655395507812,-10.3869079589844,-10.1934265136719,7.6017,5.6669,9.0621,441.234147625344,424.174071025631,471.246150209784,0,3,"ACTIVATE (remote sensing)"
"8",1193.8273877,1163.8481419,1223.8066335,-10.3468231201172,-10.4169143676758,-10.1974243164062,12.939075,10.399925,14.019425,338.131524408702,320.485426841085,372.756891867458,0,3.5,"ACTIVATE (remote sensing)"
"9",1283.7651251,1253.7858793,1313.7443709,-9.91928710937498,-10.1676162719726,-9.71192779541013,23.6893,21.3071875,25.05495,308.111975401156,292.864634876131,332.925159472938,0,4,"ACTIVATE (remote sensing)"
"10",1396.18729685,1358.7132396,1437.408759825,-9.4854797363281,-9.60713806152341,-9.29714050292966,31.4079,26.706775,38.447675,277.49841130263,259.658980851853,289.732751040121,0,4.5,"ACTIVATE (remote sensing)"
"11",1448.650977,1388.6924854,1516.10428005,-9.53287353515623,-9.75298156738279,-9.10858764648435,46.053075,40.3996625,50.2175,264.224807561415,261.652949545516,279.087641367228,0,5,"ACTIVATE (remote sensing)"
"12",1553.5783373,1407.429514025,1651.01088615,-8.74921264648435,-9.3004440307617,-8.12081756591795,60.455425,54.4912,73.33075,259.544278125834,242.148194284677,279.99919659449,0,5.5,"ACTIVATE (remote sensing)"
"13",1583.5575831,1508.6094686,1639.768668975,-8.52957763671873,-8.9489807128906,-7.41306915283201,37.283725,24.9241,47.2689875,231.190476762074,209.366533262652,235.313860872231,0,6,"ACTIVATE (remote sensing)"
"14",1673.4953205,1598.547206,1748.443435,-8.62213745117185,-8.90744628906248,-7.0334533691406,34.0741,28.17205,49.22005,179.053348348593,164.742711598751,225.745487775633,0,6.5,"ACTIVATE (remote sensing)"
"15",1763.4330579,1695.97975485,1838.3811724,-8.07901611328123,-9.04933776855466,-7.26958312988279,20.2721,19.2813,22.40465,134.244500333728,120.306869232685,143.641133301237,0,7,"ACTIVATE (remote sensing)"
"16",1778.4226808,1707.221972025,1823.3915495,-8.59146728515623,-9.0496887207031,-7.61937561035154,20.28365,20.04685,21.99805,126.845824471826,118.921029447772,143.544811662272,0,7.5,"ACTIVATE (remote sensing)"
"17",1860.86560675,1778.4226808,1913.3292869,-8.37113037109373,-8.66354980468748,-7.76934661865232,17.2682,12.825675,24.67125,120.478351161956,114.599341999048,142.074898283471,0,8,"ACTIVATE (remote sensing)"
"18",1898.339664,1804.654520875,1928.3189098,-8.5167297363281,-8.64621582031248,-8.14931335449216,17.612,17.1365,20.3685,112.312413547242,91.217502974251,128.674421456686,0,8.5,"ACTIVATE (remote sensing)"
"19",1980.78258995,1887.097446825,2059.478110175,-8.19785156249998,-8.5420211791992,-7.62631835937498,30.9721,29.3575875,32.9118,76.3739436494591,75.3591107991287,77.9623072696752,0,9,"ACTIVATE (remote sensing)"
"20",2108.1943846,2010.76183575,2168.1528762,-7.87975158691404,-8.38422241210935,-7.72539367675779,NA,NA,NA,NA,NA,NA,0,9.5,"ACTIVATE (remote sensing)"
"21",2303.0594823,2295.56467085,2310.55429375,-7.71674194335935,-7.71745910644529,-7.71602478027341,NA,NA,NA,NA,NA,NA,0,10,"ACTIVATE (remote sensing)"
