"","time","lwp","trel"
"1",39612,11.8317766189575,-0.996666666666667
"2",39640,11.6574087142944,-0.988888888888889
"3",39660,11.7102832794189,-0.983333333333333
"4",39680,11.4770679473877,-0.977777777777778
"5",39700,11.4587173461914,-0.972222222222222
"6",39720,11.5229368209839,-0.966666666666667
"7",39740,11.5779838562012,-0.961111111111111
"8",39760,11.6666650772095,-0.955555555555556
"9",39780,12.0363616943359,-0.95
"10",39800,12.1284379959106,-0.944444444444444
"11",39820,13.2181797027588,-0.938888888888889
"12",39840,13.8545417785645,-0.933333333333333
"13",39860,13.8990802764893,-0.927777777777778
"14",39880,15.4234199523926,-0.922222222222222
"15",39900,15.499997138977,-0.916666666666667
"16",39920,15.927924156189,-0.911111111111111
"17",39940,15.9636325836182,-0.905555555555556
"18",39960,17.0720691680908,-0.9
"19",39980,20.5357093811035,-0.894444444444444
"20",40000,20.4954929351807,-0.888888888888889
"21",40020,28.5178546905518,-0.883333333333333
"22",40040,28.6756706237793,-0.877777777777778
"23",40060,35.9464263916016,-0.872222222222222
"24",40080,38.4336280822754,-0.866666666666667
"25",40100,41.035400390625,-0.861111111111111
"26",40120,42.5132751464844,-0.855555555555556
"27",40140,42.651782989502,-0.85
"28",40160,44.2212409973145,-0.844444444444444
"29",40180,44.2212409973145,-0.838888888888889
"30",40200,45.6140365600586,-0.833333333333333
"31",40220,46.9561424255371,-0.827777777777778
"32",40240,47.9210548400879,-0.822222222222222
"33",40260,48.8070182800293,-0.816666666666667
"34",40280,48.8070182800293,-0.811111111111111
"35",40300,49.5739135742188,-0.805555555555556
"36",40320,49.7192993164062,-0.8
"37",40340,49.8782615661621,-0.794444444444444
"38",40360,50.2782592773438,-0.788888888888889
"39",40380,50.2782592773438,-0.783333333333333
"40",40400,52.3534469604492,-0.777777777777778
"41",40420,52.7652130126953,-0.772222222222222
"42",40440,53.4786338806152,-0.766666666666667
"43",40460,53.683765411377,-0.761111111111111
"44",40480,53.743595123291,-0.755555555555556
"45",40500,53.8205108642578,-0.75
"46",40520,54.2672462463379,-0.744444444444444
"47",40540,53.8135643005371,-0.738888888888889
"48",40560,54.2222290039062,-0.733333333333333
"49",40580,54.3728904724121,-0.727777777777778
"50",40600,54.8389892578125,-0.722222222222222
"51",40620,55.1779708862305,-0.716666666666667
"52",40640,55.2941207885742,-0.711111111111111
"53",40660,55.7118682861328,-0.705555555555556
"54",40680,56.9748001098633,-0.7
"55",40700,57.3559379577637,-0.694444444444444
"56",40720,57.739501953125,-0.688888888888889
"57",40740,57.6333427429199,-0.683333333333333
"58",40760,58.0084075927734,-0.677777777777778
"59",40780,57.791675567627,-0.672222222222222
"60",40800,58.134464263916,-0.666666666666667
"61",40820,57.7750091552734,-0.661111111111111
"62",40840,57.7750091552734,-0.655555555555556
"63",40860,57.7166786193848,-0.65
"64",40880,57.3801765441895,-0.644444444444444
"65",40900,57.7000045776367,-0.638888888888889
"66",40920,57.2314147949219,-0.633333333333333
"67",40940,57.4833374023438,-0.627777777777778
"68",40960,57.2333374023438,-0.622222222222222
"69",40980,56.8264541625977,-0.616666666666667
"70",41000,57.0250129699707,-0.611111111111111
"71",41020,56.66943359375,-0.605555555555556
"72",41040,57.0500068664551,-0.6
"73",41060,57.1333427429199,-0.594444444444444
"74",41080,57.1333427429199,-0.588888888888889
"75",41100,57.3750076293945,-0.583333333333333
"76",41120,57.0495948791504,-0.577777777777778
"77",41140,57.5000076293945,-0.572222222222222
"78",41160,57.2479438781738,-0.566666666666667
"79",41180,57.6000061035156,-0.561111111111111
"80",41200,58.0333366394043,-0.555555555555556
"81",41220,58.0333366394043,-0.55
"82",41240,58.1333312988281,-0.544444444444444
"83",41260,58.0413208007812,-0.538888888888889
"84",41280,58.1750030517578,-0.533333333333333
"85",41300,58.0000038146973,-0.527777777777778
"86",41320,58.3833351135254,-0.522222222222222
"87",41340,58.4250030517578,-0.516666666666667
"88",41360,58.074390411377,-0.511111111111111
"89",41380,58.5833396911621,-0.505555555555556
"90",41400,58.2396812438965,-0.5
"91",41420,58.641674041748,-0.494444444444444
"92",41440,58.4049644470215,-0.488888888888889
"93",41460,58.7916793823242,-0.483333333333333
"94",41480,58.6333389282227,-0.477777777777778
"95",41500,58.2479438781738,-0.472222222222222
"96",41520,58.5000076293945,-0.466666666666667
"97",41540,58.2148818969727,-0.461111111111111
"98",41560,58.6583404541016,-0.455555555555556
"99",41580,58.8833274841309,-0.45
"100",41600,58.8833274841309,-0.444444444444444
"101",41620,59.1083297729492,-0.438888888888889
"102",41640,58.7189979553223,-0.433333333333333
"103",41660,59.2166519165039,-0.427777777777778
"104",41680,58.9090766906738,-0.422222222222222
"105",41700,59.3833312988281,-0.416666666666667
"106",41720,59.549991607666,-0.411111111111111
"107",41740,59.549991607666,-0.405555555555556
"108",41760,59.8333206176758,-0.4
"109",41780,59.4875907897949,-0.394444444444444
"110",41800,59.9666633605957,-0.388888888888889
"111",41820,59.6859474182129,-0.383333333333333
"112",41840,60.1833305358887,-0.377777777777778
"113",41860,60.3166542053223,-0.372222222222222
"114",41880,59.9256057739258,-0.366666666666667
"115",41900,60.4916496276855,-0.361111111111111
"116",41920,60.0165138244629,-0.355555555555556
"117",41940,60.5083160400391,-0.35
"118",41960,60.7416496276855,-0.344444444444444
"119",41980,60.7416496276855,-0.338888888888889
"120",42000,60.9999809265137,-0.333333333333333
"121",42020,60.9999809265137,-0.327777777777778
"122",42040,61.6050224304199,-0.322222222222222
"123",42060,61.1833152770996,-0.316666666666667
"124",42080,61.7058639526367,-0.311111111111111
