"","N","lhf","shf","sst"
"1",-2,77.6554679252135,44.9096539195338,NA
"2",-1,201.591595244512,116.88434006231,281.55671500982
"3",0,490.881962148669,279.475542654699,289.75452999682
"4",0,490.881962148669,279.475542654699,289.75452999682
"5",1,695.320222700463,354.467147127573,295.12598150337
"6",2,657.741667835007,314.726399973945,294.764407603058
"7",3,606.79522577211,273.941030335779,294.205108746635
"8",4,577.191714593956,247.89951872511,293.840454547359
"9",5,536.373560898797,220.62264286437,293.087429647693
"10",6,506.394102817517,211.547733950567,292.995882633676
"11",7,477.206093659072,207.431674796154,292.634666093547
"12",8,NA,NA,292.749063210739
"13",9,NA,NA,292.627821292206
"14",10,NA,NA,292.487898880282
"15",11,NA,NA,292.597659135494
"16",12,NA,NA,292.612621582105
"17",13,NA,NA,292.751059051854
"18",14,NA,NA,292.575476147429
"19",15,NA,NA,292.445603724008
"20",16,NA,NA,292.601028838928
"21",17,NA,NA,292.579183161089
"22",18,NA,NA,292.552922617454
"23",19,NA,NA,292.503378562026
"24",20,NA,NA,292.394607036948
"25",21,NA,NA,292.442044782405
"26",22,NA,NA,292.519949095416
"27",23,NA,NA,292.510998375034
"28",24,NA,NA,292.532859947554
"29",25,NA,NA,292.606041672226
"30",26,NA,NA,293.294240039824
"31",27,NA,NA,293.846976372957
"32",28,NA,NA,294.071164831255
"33",29,NA,NA,293.762604908147
"34",30,NA,NA,293.113755991118
