"","fname","h","time.sim","T","qv","rh","u","v","theta","p","sat"
"1","202201182018",8168.1,9,-41.45,0.0483483618289993,16.36,51.72,-12.3,314.695018801688,342.84,"ACTIVATE (dropsonde)"
"2","202201182018",8159.1,9,-41.41,0.0485185763762777,16.37,51.51,-12.24,314.631291492227,343.29,"ACTIVATE (dropsonde)"
"3","202201182018",8150.2,9,-41.37,0.0488082775641413,16.42,51.29,-12.18,314.567722306507,343.74,"ACTIVATE (dropsonde)"
"4","202201182018",8141.2,9,-41.33,0.0491276404245609,16.48,51.06,-12.13,314.50169747073,344.2,"ACTIVATE (dropsonde)"
"5","202201182018",8132.2,9,-41.29,0.0493302860722407,16.5,50.84,-12.1,314.438446996226,344.65,"ACTIVATE (dropsonde)"
"6","202201182018",8123.2,9,-41.24,0.0494643262761072,16.48,50.62,-12.07,314.386304235229,345.11,"ACTIVATE (dropsonde)"
"7","202201182018",8114.2,9,-41.19,0.0495986168142384,16.46,50.41,-12.05,314.334315229316,345.57,"ACTIVATE (dropsonde)"
"8","202201182018",8105.2,9,-41.14,0.0497936618868663,16.46,50.2,-12.04,314.282479486497,346.03,"ACTIVATE (dropsonde)"
"9","202201182018",8096.2,9,-41.09,0.0500516194773203,16.48,50.01,-12.03,314.233390290981,346.48,"ACTIVATE (dropsonde)"
"10","202201182018",8087.3,9,-41.04,0.0503398349812695,16.51,49.82,-12.02,314.181855743349,346.94,"ACTIVATE (dropsonde)"
"11","202201182018",8078.3,9,-40.99,0.0507213346160826,16.57,49.66,-12.01,314.13047300741,347.4,"ACTIVATE (dropsonde)"
"12","202201182018",8069.4,9,-40.94,0.0512279389336628,16.67,49.52,-12,314.07924159981,347.86,"ACTIVATE (dropsonde)"
"13","202201182018",8060.5,9,-40.9,0.0518390826076131,16.82,49.4,-11.98,314.017218866826,348.31,"ACTIVATE (dropsonde)"
"14","202201182018",8051.8,9,-40.85,0.0525392781879533,16.98,49.32,-11.96,313.968864606972,348.76,"ACTIVATE (dropsonde)"
"15","202201182018",8043.2,9,-40.79,0.0531770714399427,17.1,49.26,-11.93,313.93673454246,349.2,"ACTIVATE (dropsonde)"
"16","202201182018",8034.3,9,-40.74,0.0535419249199837,17.15,49.23,-11.9,313.886088472105,349.66,"ACTIVATE (dropsonde)"
"17","202201182018",8025.4,9,-40.67,0.0538347558182864,17.14,49.23,-11.88,313.865156519128,350.11,"ACTIVATE (dropsonde)"
"18","202201182018",8016.6,9,-40.61,0.0539130659349255,17.08,49.25,-11.85,313.828289711023,350.57,"ACTIVATE (dropsonde)"
"19","202201182018",8007.8,9,-40.53,0.0538508458661402,16.94,49.28,-11.83,313.821098944831,351.02,"ACTIVATE (dropsonde)"
"20","202201182018",7999.1,9,-40.46,0.0534408118602246,16.71,49.32,-11.81,313.800532953874,351.47,"ACTIVATE (dropsonde)"
"21","202201182018",7990.3,9,-40.38,0.0530145838847966,16.46,49.35,-11.79,313.793567865807,351.92,"ACTIVATE (dropsonde)"
"22","202201182018",7981.3,9,-40.31,0.0526188214001591,16.24,49.39,-11.76,313.768143412425,352.39,"ACTIVATE (dropsonde)"
"23","202201182018",7972.3,9,-40.23,0.0524011840986594,16.06,49.41,-11.72,313.756322844584,352.86,"ACTIVATE (dropsonde)"
"24","202201182018",7963.2,9,-40.16,0.0521890228983723,15.9,49.43,-11.68,313.731159471994,353.33,"ACTIVATE (dropsonde)"
"25","202201182018",7954.2,9,-40.09,0.0519737575591967,15.74,49.44,-11.61,313.708664495197,353.79,"ACTIVATE (dropsonde)"
"26","202201182018",7945.3,9,-40.03,0.0516322748035462,15.56,49.44,-11.54,313.670306716283,354.26,"ACTIVATE (dropsonde)"
"27","202201182018",7936.4,9,-39.97,0.0511555694287157,15.34,49.44,-11.44,313.637148217446,354.71,"ACTIVATE (dropsonde)"
"28","202201182018",7927.6,9,-39.91,0.0506377953489923,15.11,49.42,-11.34,313.601591496561,355.17,"ACTIVATE (dropsonde)"
"29","202201182018",7918.8,9,-39.86,0.0502298031965043,14.93,49.4,-11.23,313.552728017645,355.63,"ACTIVATE (dropsonde)"
"30","202201182018",7910,9,-39.82,0.050103579928789,14.85,49.37,-11.11,313.490572262013,356.09,"ACTIVATE (dropsonde)"
"31","202201182018",7901.3,9,-39.78,0.0501806567993317,14.83,49.34,-10.98,313.431083360533,356.54,"ACTIVATE (dropsonde)"
"32","202201182018",7892.6,9,-39.75,0.0501703920002861,14.8,49.29,-10.84,313.355803101986,357,"ACTIVATE (dropsonde)"
"33","202201182018",7883.8,9,-39.73,0.0498705253909542,14.7,49.23,-10.7,313.267263751151,357.46,"ACTIVATE (dropsonde)"
"34","202201182018",7875,9,-39.72,0.0493492952066971,14.55,49.15,-10.55,313.165479625156,357.92,"ACTIVATE (dropsonde)"
"35","202201182018",7866.2,9,-39.72,0.0486762096960118,14.37,49.06,-10.4,313.050464994313,358.38,"ACTIVATE (dropsonde)"
"36","202201182018",7857.4,9,-39.71,0.0480207481278685,14.18,48.96,-10.25,312.949046029399,358.84,"ACTIVATE (dropsonde)"
"37","202201182018",7848.6,9,-39.68,0.0474978376919983,14,48.86,-10.11,312.874608504804,359.3,"ACTIVATE (dropsonde)"
"38","202201182018",7839.9,9,-39.64,0.0470215497321494,13.82,48.76,-9.98,312.813726314827,359.76,"ACTIVATE (dropsonde)"
"39","202201182018",7831.1,9,-39.59,0.0465561739795503,13.63,48.67,-9.88,312.766384296789,360.22,"ACTIVATE (dropsonde)"
"40","202201182018",7822.4,9,-39.53,0.046065441823191,13.42,48.6,-9.8,312.732567338231,360.68,"ACTIVATE (dropsonde)"
"41","202201182018",7813.6,9,-39.46,0.0456835506916862,13.23,48.54,-9.74,312.709783937774,361.15,"ACTIVATE (dropsonde)"
"42","202201182018",7804.7,9,-39.39,0.0454690164534312,13.09,48.5,-9.71,312.687125600743,361.62,"ACTIVATE (dropsonde)"
