"","N","lhf","shf","sst"
"1",-28,33.0269217238758,34.2491102515767,271.459716796875
"2",-27,36.26687801157,41.51117613893,271.459716796875
"3",-26,39.7770645722801,44.9757364846513,271.459716796875
"4",-25,45.257489920635,50.6320423562485,271.459716796875
"5",-24,51.4770808961196,58.6971948522227,271.459716796875
"6",-23,58.0459320584145,67.1151295442569,271.459716796875
"7",-22,67.525421245378,81.074275287511,271.461382037642
"8",-21,85.5706258733178,112.736799605807,271.726757084208
"9",-20,92.1791927244864,120.270501447237,272.115371241669
"10",-19,91.8205540235839,112.876663269269,272.419389816353
"11",-18,91.2395886755242,109.819532181437,272.819711850678
"12",-17,95.5941190595493,107.599095585447,273.277553119796
"13",-16,97.2667123656441,102.244385967555,273.57218163595
"14",-15,104.584151327013,101.487896279206,274.218693217618
"15",-14,123.873491951709,115.936192723691,275.2389513917
"16",-13,148.306508492818,132.617385906902,276.577432410455
"17",-12,161.095247917908,134.027250660315,277.418716052212
"18",-11,168.018975676332,129.586536125974,277.93861365985
"19",-10,167.784245751882,118.636994761668,278.098433536658
"20",-9,155.340495040305,99.6185625602736,277.954801253843
"21",-8,156.847408452018,97.362028781357,278.424026943444
"22",-7,149.051599503706,89.6610197129877,278.717486247517
"23",-6,140.30225785054,81.7555008231685,278.805745052643
"24",-5,135.88309223711,85.6268858967732,279.080269361493
"25",-4,126.400556772576,84.7595682458812,279.254382410116
"26",-3,117.315281586792,77.8084450726692,279.269002881687
"27",-2,108.329195968653,67.8133610298903,279.288425388043
"28",-1,89.700728436338,53.2277002734793,278.739232277043
"29",0,86.5384911822217,121.514725564441,NA
"30",0,86.5384911822217,121.514725564441,NA
