"","lat","lon","lwp","lwp.25","lwp.75","sat","tdiff","time.rel"
"1",39.7946108145397,-73.6825910075864,40.5789443066246,17.6599979400635,53.9114952087402,"MAC-LWP",1,-9
"2",36.0425016843854,-70.7076758571429,166.527532172926,136.670013427734,178.869995117188,"MAC-LWP",-1,0
"3",35.6641884771058,-70.4521315991348,146.513590886043,125.365001678467,161.869995117188,"MAC-LWP",0,1
"4",35.3061706482947,-70.234913220311,128.456754117399,114.199989318848,148.050003051758,"MAC-LWP",1,2
"5",36.833244308523,-71.2806563645649,230.823395093282,170.43603515625,269.942176818848,"MAC-LWP",-1,-2
"6",36.4202411399045,-70.9656748816105,190.949997456868,148.869995117188,227.070007324219,"MAC-LWP",0,-1
"7",36.0425016843854,-70.7076758571429,173.016454739041,138.780014038086,187.070007324219,"MAC-LWP",1,0
"8",39.7946108145397,-73.6825910075864,47.3551963806152,38.2689971923828,57.4829940795898,"MAC-LWP",-1,-9
"9",39.413151111441,-73.359002856366,48.7321693793587,31.7705001831055,58.2689933776855,"MAC-LWP",0,-8
"10",39.0239822478452,-73.0349737705249,65.7999655919917,47.6794948577881,85.444995880127,"MAC-LWP",1,-7
"11",35.3061706482947,-70.234913220311,126.763808114188,106.669998168945,136.670013427734,"MAC-LWP",-1,2
"12",34.9452193037396,-70.0280467402705,107.634997177124,91.5949954986572,124.199996948242,"MAC-LWP",0,3
"13",34.5834717135966,-69.8648972777438,105.999995984529,94.129997253418,119.149993896484,"MAC-LWP",1,4
"14",35.6641884771058,-70.4521315991348,147.372731295499,126.67000579834,156.9700050354,"MAC-LWP",-1,1
"15",35.3061706482947,-70.234913220311,126.763808114188,106.669998168945,136.670013427734,"MAC-LWP",0,2
"16",34.9452193037396,-70.0280467402705,107.634997177124,91.5949954986572,124.199996948242,"MAC-LWP",1,3
"17",37.2768006849474,-71.6695892901471,214.066663106283,175.996494293213,240.514274597168,"MAC-LWP",-1,-3
"18",36.833244308523,-71.2806563645649,201.096762657166,167.312480926514,228.914348602295,"MAC-LWP",0,-2
"19",36.4202411399045,-70.9656748816105,183.220711517334,148.80249786377,220.492435455322,"MAC-LWP",1,-1
"20",37.7454429027081,-72.0722098652933,168.10343170166,148.174587249756,181.743270874023,"MAC-LWP",-1,-4
"21",37.2768006849474,-71.6695892901471,214.066663106283,175.996494293213,240.514274597168,"MAC-LWP",0,-3
"22",36.833244308523,-71.2806563645649,201.096762657166,167.312480926514,228.914348602295,"MAC-LWP",1,-2
"23",32.2134528140015,-69.9689552843456,140.298106466021,102.195135116577,143.254554748535,"MAC-LWP",-1,12
"24",32.0028876638836,-70.0893282610973,168.601637268066,123.146755218506,184.766117095947,"MAC-LWP",0,13
"25",31.7914340183898,-70.2296687054925,179.108327388763,123.290256500244,223.368263244629,"MAC-LWP",1,14
"26",32.4228960271854,-69.8677363360324,132.429307103157,93.2623252868652,139.820045471191,"MAC-LWP",-1,11
"27",32.2134528140015,-69.9689552843456,140.298106466021,102.195135116577,143.254554748535,"MAC-LWP",0,12
"28",32.0028876638836,-70.0893282610973,168.601637268066,123.146755218506,184.766117095947,"MAC-LWP",1,13
"29",30.5348634791318,-72.1635677387885,59.0703475475311,32.1734981536865,81.6719970703125,"MAC-LWP",-1,24
"30",30.6412477257368,-71.7299376105248,84.9253094823737,22.7019996643066,134.218946456909,"MAC-LWP",-1,22
"31",30.5844916047167,-71.9563855070876,91.4787370818002,25.1567497253418,153.840595245361,"MAC-LWP",0,23
"32",30.5348634791318,-72.1635677387885,99.8028142929077,32.4409980773926,183.504043579102,"MAC-LWP",1,24
"33",31.6025504381955,-70.355790277184,63.4130020141602,63.4130020141602,63.4130020141602,"MAC-LWP",-1,15
"34",31.4252869453714,-70.5073096822327,83.6306635538737,73.7649993896484,93.7394943237305,"MAC-LWP",0,16
"35",31.2518885558157,-70.6765947521952,91.3489971160889,78.9409980773926,106.147493362427,"MAC-LWP",1,17
"36",32.0028876638836,-70.0893282610973,123.852599080404,118.218502044678,133.361999511719,"MAC-LWP",-1,13
"37",31.7914340183898,-70.2296687054925,119.085413315717,113.361999511719,133.074996948242,"MAC-LWP",0,14
"38",31.6025504381955,-70.355790277184,125.746314525604,123.075004577637,133.361999511719,"MAC-LWP",1,15
"39",30.5844916047167,-71.9563855070876,80.2070506915712,22.9850006103516,126.975608825684,"MAC-LWP",-1,23
"40",30.5348634791318,-72.1635677387885,89.6423093318939,32.1734981536865,112.330167770386,"MAC-LWP",0,24
"41",32.650226394015,-69.7764671955152,108.000950455666,82.0092830657959,133.025245666504,"MAC-LWP",-1,10
"42",32.4228960271854,-69.8677363360324,132.429307103157,93.2623252868652,139.820045471191,"MAC-LWP",0,11
"43",32.2134528140015,-69.9689552843456,140.298106466021,102.195135116577,143.254554748535,"MAC-LWP",1,12
"44",30.7193246808178,-71.4929264266287,132.581902313232,54.6109313964844,200.118667602539,"MAC-LWP",-1,21
"45",30.6412477257368,-71.7299376105248,170.0013865153,111.697273254395,217.546875,"MAC-LWP",0,22
"46",30.5844916047167,-71.9563855070876,193.685467020671,150.661964416504,229.959594726562,"MAC-LWP",1,23
"47",30.8208896763251,-71.2648280630388,87.341400384903,33.8169326782227,129.390054702759,"MAC-LWP",-1,20
"48",30.7193246808178,-71.4929264266287,132.581902313232,54.6109313964844,200.118667602539,"MAC-LWP",0,21
"49",30.6412477257368,-71.7299376105248,170.0013865153,111.697273254395,217.546875,"MAC-LWP",1,22
"50",30.9430528104052,-71.0570567320309,63.2751460916856,16.2529296875,85.1314392089844,"MAC-LWP",-1,19
