"","time.abs","altitude","qv","rh","temp","theta"
"1",33899.999,0,3.59626317024231,80.4938735961914,2.30073595046997,274.790100097656
"2",33899.999,0.00999999977648258,3.54742693901062,81.6634292602539,1.89108574390411,274.478790283203
"3",33899.999,0.0209999997168779,3.46394157409668,81.0984039306641,1.63830065727234,274.333679199219
"4",33899.999,0.033100001513958,3.39240670204163,80.32421875,1.46178090572357,274.275390625
"5",33899.999,0.0464100018143654,3.3447847366333,80.1062545776367,1.2808666229248,274.224517822266
"6",33899.999,0.0610510036349297,3.31560897827148,80.1405334472656,1.12848460674286,274.215087890625
"7",33899.999,0.0771561041474342,3.27117323875427,79.8292083740234,0.968383133411407,274.212249755859
"8",33899.999,0.0948717147111893,3.22748374938965,79.5491333007812,0.801097989082336,274.217895507812
"9",33899.999,0.114358887076378,3.19440793991089,79.4698486328125,0.639413893222809,274.246520996094
"10",33899.999,0.135794773697853,3.15364551544189,79.2296905517578,0.467663198709488,274.284088134766
"11",33899.999,0.159374251961708,3.12779355049133,79.3582611083984,0.291604965925217,274.338409423828
"12",33899.999,0.185311675071716,3.09449410438538,79.4610443115234,0.0823394432663918,274.382537841797
"13",33899.999,0.213842839002609,3.05147004127502,79.5352172851562,-0.171206578612328,274.407653808594
"14",33899.999,0.245227128267288,2.98057866096497,78.5621566772461,-0.377285778522491,274.508636474609
"15",33899.999,0.279749840497971,2.90573453903198,77.3832626342773,-0.57624214887619,274.647735595703
"16",33899.999,0.317724823951721,2.83500814437866,76.4115447998047,-0.804083704948425,274.792022705078
"17",33899.999,0.359497308731079,2.74509286880493,75.0150527954102,-1.06193339824677,274.943725585938
"18",33899.999,0.405447036027908,2.63568878173828,72.9182586669922,-1.3060964345932,275.150848388672
"19",33899.999,0.455991744995117,2.51047515869141,70.6143798828125,-1.61503827571869,275.338256835938
"20",33899.999,0.511590957641602,2.39492177963257,68.8504867553711,-2.00331664085388,275.495666503906
"21",33899.999,0.572750091552734,2.29506325721741,67.8373565673828,-2.48041987419128,275.618286132812
"22",33899.999,0.64002513885498,2.09193253517151,63.1848831176758,-2.88144898414612,275.879669189453
"23",33899.999,0.71402770280838,1.87381780147552,58.3966789245605,-3.42195177078247,276.066223144531
"24",33899.999,0.795430541038513,1.71789276599884,55.9122085571289,-4.13509750366211,276.150299072266
"25",33899.999,0.884973645210266,1.6551992893219,56.9053039550781,-5.01033973693848,276.149597167969
"26",33899.999,0.983471035957336,1.56727337837219,57.2567939758301,-5.97217273712158,276.149597167969
"27",33899.999,1.09181821346283,1.53539395332336,59.994255065918,-7.02885818481445,276.150360107422
"28",33899.999,1.21100008487701,1.32281637191772,55.7099723815918,-8.18946552276611,276.150543212891
"29",33899.999,1.34210014343262,1.05627155303955,46.6244583129883,-9.00117683410645,276.632995605469
"30",33899.999,1.48631024360657,0.900506973266602,41.6786346435547,-9.83655166625977,277.224090576172
"31",33899.999,1.64494132995605,0.768730640411377,37.6001892089844,-10.7889356613159,277.841186523438
"32",33899.999,1.81943547725677,0.677694857120514,35.1058731079102,-11.7878665924072,278.575439453125
"33",33899.999,2.01137900352478,0.653574347496033,36.023250579834,-12.865891456604,279.410491943359
"34",33899.999,2.2225170135498,0.674276947975159,39.5990791320801,-13.9840564727783,280.408630371094
"35",33899.999,2.45476889610291,0.753572523593903,48.1388702392578,-15.3773555755615,281.338165283203
"36",33899.999,2.71024608612061,0.70716780424118,49.3362007141113,-16.8382682800293,282.450042724609
"37",33899.999,2.99127101898193,0.695375740528107,54.4157218933105,-18.637996673584,283.4755859375
"38",33899.999,3.30039834976196,0.627272963523865,56.6111488342285,-20.7769393920898,284.443511962891
"39",33899.999,3.64043831825256,0.549992084503174,57.2528457641602,-22.9294624328613,285.756500244141
"40",33899.999,4.01448249816895,0.425873160362244,50.7601127624512,-25.0156936645508,287.552581787109
"41",33899.999,4.42593097686768,0.361367762088776,51.6258811950684,-27.6232528686523,289.199615478516
"42",33899.999,4.87852430343628,0.237556114792824,40.9294204711914,-30.3018627166748,291.271423339844
"43",33899.999,5.37637710571289,0.102619647979736,21.1569538116455,-32.907787322998,294.006072998047
"44",33899.999,5.92401504516602,0.0514854043722153,12.6706762313843,-35.5071640014648,297.404876708984
"45",33899.999,6.52641677856445,0.0580497607588768,18.5363636016846,-38.9471244812012,300.493438720703
"46",33899.999,7.18905878067017,0.060616996139288,26.7388820648193,-42.9613418579102,303.681121826172
"47",33899.999,7.91796493530273,0.0519934557378292,31.6314945220947,-46.913387298584,307.922241210938
"48",33899.999,8.71976184844971,0.0193122215569019,11.6319522857666,-47.910213470459,317.394836425781
"49",33899.999,9.60173797607422,0.00955111160874367,4.09400987625122,-46.047794342041,332.436248779297
"50",33899.999,10.5719118118286,0.0069427452981472,2.05224061012268,-43.967414855957,349.672912597656
"51",33899.999,11.639102935791,0.00464590359479189,0.98034256696701,-42.2915573120117,368.487640380859
"52",33899.999,12.8130130767822,0.00512894801795483,0.860424816608429,-41.7537155151367,388.021331787109
"53",33899.999,14.1043138504028,0.0057162675075233,0.811294972896576,-41.9642333984375,409.253021240234
"54",33899.999,15.5247449874878,0.006332753226161,0.744607388973236,-42.1561012268066,434.039733886719
"55",33899.999,17.0872192382812,0.00732147879898548,0.665273904800415,-41.8863716125488,463.984375
"56",34199.999,0,3.42537617683411,77.1866989135742,2.21134662628174,274.694580078125
"57",34199.999,0.00999999977648258,3.14405512809753,74.6713790893555,1.46588039398193,274.048248291016
"58",34199.999,0.0209999997168779,2.99066519737244,72.3717422485352,1.18959248065948,273.879699707031
