"","lat","lon","cc","cth","ctt","cod","nd","tdiff","time.rel","sza","ctt.25","ctt.75","cod.25","cod.75","nd.25","nd.75","cth.25","cth.75","cc.025","cc.975","cod.me","sat"
"1",35.7433952552826,-70.8404636506647,0.994066455696203,4057.31180753403,-10.1682224913495,32.3457136075949,156.243915305304,-1,1.3,39.1043053797468,-10.6094671241939,-9.91912215445188,19.55,42.5225,123.231351978648,185.353489672496,4031,4149,0.997523525586759,1,30.24,"VIIRS"
"2",35.4545838289672,-70.5502242495266,0.962632069608452,3950.32760774514,-9.04815309987205,27.3258739900559,139.58070237543,0,2.3,38.8674860161591,-10.1413021447137,-8.63365221079437,13.9075,37.9725,107.13493602723,169.839664958365,3960,4133,0.837037037037037,1,24.84,"VIIRS"
"3",35.1949951375893,-70.2878752491695,0.935461697090048,3803.08019740899,-7.80155111563372,21.7185167646834,138.516612097068,1,3.3,38.6563232261514,-9.11768718957899,-7.32437726818023,9.63,30.57,101.411759164349,171.197094646772,3846,4022,0.732081443421853,1,18.78,"VIIRS"
"4",35.9992222631435,-71.1010788078344,0.997510373443983,4272.22208883554,-12.2052093666771,53.1343706777317,171.370661887817,-1,0.5,39.1546583679115,-12.6190057861153,-11.726318325242,28.655,67.21,127.869829715692,225.491535520364,4222.75,4325.25,0.980237097695677,1,44.53,"VIIRS"
"5",35.68362967439,-70.7803674978527,0.995713673381912,4230.25496461995,-11.2143365167647,49.5592606086584,179.237725079982,0,1.5,38.7904329189884,-11.7838470727205,-10.7443621182814,26.0525,64.93,140.726047919447,212.628337759021,4197,4288,0.978102189781022,1,42.55,"VIIRS"
"6",35.4014959001731,-70.496955671996,0.993228795438346,4147.33758918513,-10.1916385882453,42.2897238061297,174.291032838863,1,2.5,38.4637348538845,-10.9665421085432,-9.65726716592906,20.8775,55.9225,135.133094559064,211.013081136483,4126,4230,0.975,1,34.905,"VIIRS"
"7",35.4811277933643,-70.576858538292,0.969460869565217,3934.32413116595,-8.70624533716711,34.935051826087,162.758244075178,-1,2.2,42.6416090434783,-9.76835716105995,-8.47495221775023,18.19,44.53,125.033892648799,192.176421422594,3943,4083,0.869419714194403,1,30.28,"VIIRS"
"8",35.2195887844554,-70.3131782421695,0.912270683132272,3687.03710669081,-6.95757078877791,26.2627161110714,142.548174683855,0,3.2,42.5196245270897,-8.7923522038385,-6.8324072897434,10.17,35.72,104.219483558853,175.285432547916,3795,3996,0.678848283499446,1,21.54,"VIIRS"
"9",34.9768355048789,-70.0648990875288,0.892197125256673,3544.20294599019,-5.73150784647693,21.9638955705485,141.908016396299,1,4.2,42.4099589322382,-7.57829725705085,-5.84846733286975,7.41,30.28,96.7069428518467,179.013291325749,3643,3898,0.679443436176649,0.99645390070922,16.84,"VIIRS"
"10",35.7433952552826,-70.8404636506647,0.994066455696203,4057.31180753403,-10.1682224913495,32.3457136075949,156.243915305304,-1,1.3,39.1043053797468,-10.6094671241939,-9.91912215445188,19.55,42.5225,123.231351978648,185.353489672496,4031,4149,0.997523525586759,1,30.24,"VIIRS"
"11",35.4545838289672,-70.5502242495266,0.962632069608452,3950.32760774514,-9.04815309987205,27.3258739900559,139.58070237543,0,2.3,38.8674860161591,-10.1413021447137,-8.63365221079437,13.9075,37.9725,107.13493602723,169.839664958365,3960,4133,0.837037037037037,1,24.84,"VIIRS"
"12",35.1949951375893,-70.2878752491695,0.935461697090048,3803.08019740899,-7.80155111563372,21.7185167646834,138.516612097068,1,3.3,38.6563232261514,-9.11768718957899,-7.32437726818023,9.63,30.57,101.411759164349,171.197094646772,3846,4022,0.732081443421853,1,18.78,"VIIRS"
"13",33.471094792546,-68.5907824897004,0,2705.90430425499,1.95052796354379,0,NA,-1,13.7,146.014873471883,-2.37888873494228,4.91139219552281,0,0,NA,NA,1843.25,3728,0,0,0,"VIIRS"
"14",33.3656320902243,-68.4893396525187,0,2651.50600508459,2.19582620952359,0,NA,0,14.7,146.072427707239,-1.8889025064185,4.94313219413164,0,0,NA,NA,1843,3677,0,0,0,"VIIRS"
"15",33.2384499549523,-68.3945863669999,0,2757.91947960617,1.71672339039813,0,NA,1,15.7,146.143077087642,-1.69052751511333,3.31645726542922,0,0,NA,NA,2058,3675,0,0,0,"VIIRS"
