"","fname","h","time.sim","T","qv","rh","u","v","theta","p","sat"
"1","202203131311",8156.4,4.6,-43.3,0.0363729720261538,14.94,57.79,-1.01,312.448491122607,341.82,"ACTIVATE (dropsonde)"
"2","202203131311",8148.3,4.6,-43.28,0.0364562125556122,14.96,57.72,-1.06,312.368567338911,342.23,"ACTIVATE (dropsonde)"
"3","202203131311",8140.2,4.6,-43.26,0.0366127934810874,15.01,57.67,-1.1,312.288789825577,342.64,"ACTIVATE (dropsonde)"
"4","202203131311",8132.2,4.6,-43.23,0.0367358183416145,15.03,57.64,-1.14,312.22273779985,343.05,"ACTIVATE (dropsonde)"
"5","202203131311",8124.3,4.6,-43.2,0.0367623119521637,15.01,57.63,-1.18,312.159421340584,343.45,"ACTIVATE (dropsonde)"
"6","202203131311",8116.4,4.6,-43.17,0.0368613300390792,15.02,57.63,-1.22,312.093637645513,343.86,"ACTIVATE (dropsonde)"
"7","202203131311",8108.6,4.6,-43.13,0.0370505624385028,15.05,57.65,-1.25,312.044147532815,344.26,"ACTIVATE (dropsonde)"
"8","202203131311",8100.8,4.6,-43.1,0.0371771380085668,15.07,57.68,-1.27,311.983803724152,344.65,"ACTIVATE (dropsonde)"
"9","202203131311",8093.1,4.6,-43.07,0.0373524528519163,15.11,57.71,-1.3,311.920995058883,345.05,"ACTIVATE (dropsonde)"
"10","202203131311",8085.5,4.6,-43.05,0.037489266878699,15.15,-9999,-9999,311.847342850629,345.44,"ACTIVATE (dropsonde)"
"11","202203131311",8077.7,4.6,-43.03,0.0376500339473714,15.2,57.77,-1.37,311.771241024563,345.84,"ACTIVATE (dropsonde)"
"12","202203131311",8069.9,4.6,-43.02,0.0378945021347484,15.3,57.81,-1.42,311.681730943271,346.24,"ACTIVATE (dropsonde)"
"13","202203131311",8062,4.6,-43.01,0.0382121712594675,15.43,57.85,-1.47,311.589794122478,346.65,"ACTIVATE (dropsonde)"
"14","202203131311",8053.9,4.6,-43.01,0.0384885984896562,15.56,57.9,-1.53,311.484473892874,347.06,"ACTIVATE (dropsonde)"
"15","202203131311",8045.9,4.6,-43,0.0387316879703545,15.66,57.96,-1.59,311.392843541675,347.47,"ACTIVATE (dropsonde)"
"16","202203131311",8037.9,4.6,-42.98,0.0389906273441884,15.75,58.01,-1.65,311.312329607842,347.89,"ACTIVATE (dropsonde)"
"17","202203131311",8029.9,4.6,-42.95,0.0393428126607324,15.86,58.07,-1.7,311.248040242138,348.3,"ACTIVATE (dropsonde)"
"18","202203131311",8022,4.6,-42.92,0.0396217142526346,15.94,58.12,-1.74,311.183882190845,348.71,"ACTIVATE (dropsonde)"
