"","time","lwp","cth","trel"
"1",39604,19.4546527862549,2470,-0.998888888888889
"2",39608,19.4546527862549,2470,-0.997777777777778
"3",39612,19.4546527862549,2470,-0.996666666666667
"4",39616,19.4546527862549,2470,-0.995555555555556
"5",39620,19.4546527862549,2470,-0.994444444444444
"6",39624,19.4546527862549,2470,-0.993333333333333
"7",39628,13.3457489013672,2470,-0.992222222222222
"8",39632,13.3457489013672,2470,-0.991111111111111
"9",39636,13.3457489013672,2500,-0.99
"10",39640,13.3457489013672,2500,-0.988888888888889
"11",39644,13.3457489013672,2500,-0.987777777777778
"12",39648,13.3457489013672,2500,-0.986666666666667
"13",39652,13.7020244598389,2500,-0.985555555555556
"14",39656,13.7020244598389,2500,-0.984444444444444
"15",39660,13.7020244598389,2470,-0.983333333333333
"16",39664,13.7020244598389,2470,-0.982222222222222
"17",39668,13.7020244598389,2470,-0.981111111111111
"18",39672,15.771785736084,2470,-0.98
"19",39676,15.771785736084,2470,-0.978888888888889
"20",39680,15.771785736084,2470,-0.977777777777778
"21",39684,15.771785736084,2470,-0.976666666666667
"22",39688,15.771785736084,2470,-0.975555555555556
"23",39692,16.1549777984619,2470,-0.974444444444444
"24",39696,16.1549777984619,2470,-0.973333333333333
"25",39700,16.1549777984619,2470,-0.972222222222222
"26",39704,16.1549777984619,2470,-0.971111111111111
"27",39708,16.1549777984619,2470,-0.97
"28",39712,24.1289253234863,2500,-0.968888888888889
"29",39716,24.1289253234863,2500,-0.967777777777778
"30",39720,24.1289253234863,2500,-0.966666666666667
"31",39724,24.1289253234863,2500,-0.965555555555556
"32",39728,24.1289253234863,2530,-0.964444444444444
"33",39732,19.5880241394043,2530,-0.963333333333333
"34",39736,19.5880241394043,2530,-0.962222222222222
"35",39740,19.5880241394043,2530,-0.961111111111111
"36",39744,19.5880241394043,2530,-0.96
"37",39748,19.5880241394043,2530,-0.958888888888889
"38",39752,29.4106540679932,2530,-0.957777777777778
"39",39756,29.4106540679932,2530,-0.956666666666667
"40",39760,29.4106540679932,2530,-0.955555555555556
"41",39764,29.4106540679932,2560,-0.954444444444444
"42",39768,29.4106540679932,2560,-0.953333333333333
"43",39772,20.2550086975098,2560,-0.952222222222222
"44",39776,20.2550086975098,2530,-0.951111111111111
"45",39780,20.2550086975098,2530,-0.95
"46",39784,20.2550086975098,2530,-0.948888888888889
"47",39788,20.2550086975098,2530,-0.947777777777778
"48",39792,10.859881401062,2500,-0.946666666666667
"49",39796,10.859881401062,2500,-0.945555555555556
"50",39800,10.859881401062,2500,-0.944444444444444
"51",39804,10.859881401062,2500,-0.943333333333333
"52",39808,10.859881401062,2500,-0.942222222222222
"53",39812,8.09611320495605,2500,-0.941111111111111
"54",39816,8.09611320495605,2500,-0.94
"55",39820,8.09611320495605,2500,-0.938888888888889
"56",39824,8.09611320495605,2500,-0.937777777777778
"57",39828,8.09611320495605,2530,-0.936666666666667
"58",39832,7.03761434555054,2530,-0.935555555555556
"59",39836,7.03761434555054,2530,-0.934444444444444
"60",39840,7.03761434555054,2500,-0.933333333333333
"61",39844,7.03761434555054,2500,-0.932222222222222
"62",39848,7.03761434555054,2500,-0.931111111111111
"63",39852,9.22407150268555,2470,-0.93
"64",39856,9.22407150268555,2470,-0.928888888888889
"65",39860,9.22407150268555,2470,-0.927777777777778
"66",39864,9.22407150268555,2470,-0.926666666666667
"67",39868,9.22407150268555,2470,-0.925555555555556
"68",39872,9.19277572631836,2470,-0.924444444444444
"69",39876,9.19277572631836,2470,-0.923333333333333
"70",39880,9.19277572631836,2470,-0.922222222222222
"71",39884,9.19277572631836,2470,-0.921111111111111
"72",39888,9.19277572631836,2470,-0.92
"73",39892,6.75837469100952,2470,-0.918888888888889
"74",39896,6.75837469100952,2470,-0.917777777777778
"75",39900,6.75837469100952,2470,-0.916666666666667
"76",39904,6.75837469100952,2440,-0.915555555555556
"77",39908,6.75837469100952,2440,-0.914444444444444
"78",39912,7.47987651824951,2440,-0.913333333333333
"79",39916,7.47987651824951,2440,-0.912222222222222
"80",39920,7.47987651824951,2440,-0.911111111111111
"81",39924,7.47987651824951,2440,-0.91
"82",39928,7.47987651824951,2440,-0.908888888888889
"83",39932,15.0676784515381,2440,-0.907777777777778
"84",39936,15.0676784515381,2440,-0.906666666666667
"85",39940,15.0676784515381,2440,-0.905555555555556
"86",39944,15.0676784515381,2470,-0.904444444444444
"87",39948,15.0676784515381,2470,-0.903333333333333
"88",39952,12.4085693359375,2470,-0.902222222222222
"89",39956,12.4085693359375,2470,-0.901111111111111
"90",39960,12.4085693359375,2440,-0.9
"91",39964,12.4085693359375,2440,-0.898888888888889
"92",39968,12.4085693359375,2440,-0.897777777777778
"93",39972,8.98785495758057,2440,-0.896666666666667
"94",39976,8.98785495758057,2440,-0.895555555555556
"95",39980,8.98785495758057,2440,-0.894444444444444
"96",39984,8.98785495758057,2440,-0.893333333333333
"97",39988,8.98785495758057,2440,-0.892222222222222
"98",39992,15.437105178833,2440,-0.891111111111111
"99",39996,15.437105178833,2440,-0.89
"100",40000,15.437105178833,2470,-0.888888888888889
"101",40004,15.437105178833,2470,-0.887777777777778
"102",40008,15.437105178833,2470,-0.886666666666667
"103",40012,22.600944519043,2470,-0.885555555555556
"104",40016,22.600944519043,2470,-0.884444444444444
"105",40020,22.600944519043,2470,-0.883333333333333
"106",40024,22.600944519043,2500,-0.882222222222222
"107",40028,22.600944519043,2500,-0.881111111111111
"108",40032,44.9703063964844,2530,-0.88
"109",40036,44.9703063964844,2530,-0.878888888888889
