"","Nqc","Nd.low","Nd.high","Ni","Ni.low","Ni.high","tdiff","sim.time.new","sat"
"74",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"75",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"76",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"77",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"78",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"79",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"80",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"81",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"82",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"83",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"84",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"85",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"86",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"87",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"88",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"89",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"90",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"91",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"92",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"93",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"94",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"95",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"96",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"97",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"98",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"99",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"100",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"101",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"102",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"103",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"104",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"105",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"106",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"107",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"108",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"109",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"110",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"111",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"112",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"113",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"114",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"115",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"116",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"117",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"118",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"119",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"120",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
"121",NA,NA,NA,NA,NA,NA,0,5.3,"ACTIVATE (in-situ)"
